tianding = 168.75, fangwei = 150, ab = 0.195093, y = -0.980785, x = 0.168955, z = 0.0975467
tianding = 168.75, fangwei = 157.5, ab = 0.195093, y = -0.980785, x = 0.180242, z = 0.0746592
tianding = 168.75, fangwei = 165, ab = 0.195093, y = -0.980785, x = 0.188445, z = 0.0504942
tianding = 168.75, fangwei = 172.5, ab = 0.195093, y = -0.980785, x = 0.193424, z = 0.0254652
tianding = 168.75, fangwei = 180, ab = 0.195093, y = -0.980785, x = 0.195093, z = 4.94596e-07
tianding = 168.75, fangwei = 187.5, ab = 0.195093, y = -0.980785, x = 0.193424, z = -0.0254642
tianding = 168.75, fangwei = 195, ab = 0.195093, y = -0.980785, x = 0.188445, z = -0.0504932
tianding = 168.75, fangwei = 202.5, ab = 0.195093, y = -0.980785, x = 0.180242, z = -0.0746583
tianding = 168.75, fangwei = 210, ab = 0.195093, y = -0.980785, x = 0.168956, z = -0.0975459
tianding = 168.75, fangwei = 217.5, ab = 0.195093, y = -0.980785, x = 0.154778, z = -0.118764
tianding = 168.75, fangwei = 225, ab = 0.195093, y = -0.980785, x = 0.137952, z = -0.137951
tianding = 168.75, fangwei = 232.5, ab = 0.195093, y = -0.980785, x = 0.118766, z = -0.154777
tianding = 168.75, fangwei = 240, ab = 0.195093, y = -0.980785, x = 0.0975469, z = -0.168955
tianding = 168.75, fangwei = 247.5, ab = 0.195093, y = -0.980785, x = 0.0746594, z = -0.180242
tianding = 168.75, fangwei = 255, ab = 0.195093, y = -0.980785, x = 0.0504944, z = -0.188445
tianding = 168.75, fangwei = 262.5, ab = 0.195093, y = -0.980785, x = 0.0254654, z = -0.193424
tianding = 168.75, fangwei = 270, ab = 0.195093, y = -0.980785, x = 7.41894e-07, z = -0.195093
tianding = 168.75, fangwei = 277.5, ab = 0.195093, y = -0.980785, x = -0.0254639, z = -0.193424
tianding = 168.75, fangwei = 285, ab = 0.195093, y = -0.980785, x = -0.050493, z = -0.188445
tianding = 168.75, fangwei = 292.5, ab = 0.195093, y = -0.980785, x = -0.074658, z = -0.180243
tianding = 168.75, fangwei = 300, ab = 0.195093, y = -0.980785, x = -0.0975457, z = -0.168956
tianding = 168.75, fangwei = 307.5, ab = 0.195093, y = -0.980785, x = -0.118764, z = -0.154778
tianding = 168.75, fangwei = 315, ab = 0.195093, y = -0.980785, x = -0.137951, z = -0.137952
